isbn13,title,authorLN,authorFN,subjects,num of subjects,format,price,publisher,pubdate
9780435910105,Opening Spaces: An Anthology of Contemporary African Women's Writing,Vera,Yvonne,"General & Miscellaneous Literature Anthologies, Anthologies",2.0,Paperback,$14.52,Heinemann,September 1999
9780394721170,African Folktales,Abrahams,Roger D.,"Travel, Africa",2.0,Paperback,$18.95,Knopf Doubleday Publishing Group,August 1983
9780813190761,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Carretta,Vincent,"United States History - African American History, African American History, African Diaspora History, American Literature Anthologies, Anthologies, Ethnic & Minority Studies, United States History - 18th Century - General & Miscellaneous, Africana - Afric",8.0,Paperback,$30.00,University Press of Kentucky,December 2003
9781558615007,Women Writing Africa: West Africa and the Sahel,Sutherland-Addy,Esi,"Literary Criticism - General & Miscellaneous, Oral Tradition & Storytelling, African Literature Anthologies",3.0,Paperback,$29.95,"Feminist Press at CUNY, The",August 2005
9781592211517,Introduction to African Oral Literature and Performance,Ogunjimi,Bayo,"Africa - Anthropology & Sociology, African Folklore & Mythology, Oral Tradition & Storytelling, General & Miscellaneous African Literature - Literary Criticism, African Literature Anthologies, Fables, Fairy Tales, & Folk Tales - Literary Criticism",8.0,Hardcover,$23.95,Africa World Press,February 2006
9780803211025,Violence in Francophone African and Caribbean Women's Literature,Kalisa,Marie-Chantal,"Literary Criticism - General & Miscellaneous, Caribbean Fiction & Prose Literature - Literary Criticism, African Literature Anthologies",3.0,Hardcover,$45.00,UNP - Nebraska,December 2009
9780253211101,Oral Epics from Africa,Johnson,John William,"Literary Criticism, African",2.0,Paperback,$24.95,Indiana University Press,March 2008
9780912469096,African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,Martin,Tony,"Literary Criticism, General",2.0,Hardcover,$14.95,"Majority Press, Incorporated, The",October 1991
9781558615342,Women Writing Africa: The Eastern Region,Lihamba,Amandina,"Social Sciences, Women's Studies",2.0,Paperback,$29.95,"Feminist Press at CUNY, The",February 2007
9780795701849,Nobody Ever Said AIDS: Poems and Stories from Southern Africa,Rasebotsa,Nobantu,"Places - Literary Anthologies, African Literature Anthologies",2.0,Paperback,$22.13,NB Publishers,March 2010
9780471380603,Step into a World: A Global Anthology of the New Black Literature,Powell,Kevin,"Peoples & Cultures - American Anthologies, Literature Anthologies - General & Miscellaneous, African Literature Anthologies, African Diaspora (outside U.S.) - General & Miscellaneous, English & Irish Literature Anthologies",5.0,Hardcover,$26.31,"Wiley, John & Sons, Incorporated",October 2000
9781906523145,The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,Internationalist,New,"Short Story Anthologies, African Fiction, African Literature Anthologies",3.0,Paperback,$16.24,New Internationalist,July 2009
9781869140014,Love Child,Mhlophe,Gcina,African Literature Anthologies,1.0,Paperback,$8.97,University Of KwaZulu-Natal Press,March 2002
9781770091450,Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,Media,Jacana,"Short Story Anthologies, African Fiction, African Literature Anthologies",3.0,Paperback,$25.13,Jacana Media,June 2006
9781558614062,Women Writing Africa: The Southern Region: Volume 1,Meintjes,Sheila,"Places - Literary Anthologies, African Literature Anthologies, General & Miscellaneous African History, Women's History - Africa, Sub-Saharan",5.0,Library Binding,$1.99,"Feminist Press at CUNY, The",December 2002
9780739105627,Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's,Orlando,ValZrie,"Caribbean Fiction & Prose Literature - Literary Criticism, African Literature Anthologies, Psychology & Literature",3.0,Hardcover,$82.00,The Rowman & Littlefield Publishing Group Inc,December 2002
9780325070254,Less Than One and Double: A Feminist Reading of African Women's Writing,Harrow,Kenneth W.,"Literary Criticism - General & Miscellaneous, General & Miscellaneous African Literature - Literary Criticism, Women Authors - General & Miscellaneous - Literary Criticism, African Literature Anthologies",4.0,Hardcover,$116.43,Heinemann,November 2001
9781588264916,The Rienner Anthology of African Literature,Kalu,Anthonia C.,African Literature Anthologies,1.0,Library Binding,$30.39,"Lynne Rienner Publishers, Inc.",April 2007
9781594606472,Oral and Written Expressions of African Cultures,Falola,Toyin,"Africa - Anthropology & Sociology, Oral Tradition & Storytelling, African Literature Anthologies",3.0,Paperback,$26.88,Carolina Academic Press,March 2009
9781904456735,Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,Nyeko,Monica Arac de,"Short Story Anthologies, African Fiction, African Literature Anthologies",3.0,Paperback,$16.18,New Internationalist,July 2008
